Claim / Finding,Verification Status,Source File,Evidence / Detail,Metric(s),Confidence,Use in Resume?,Use in Portfolio?,Next Follow-Up
34% reply rate for In Contract - Starts w/ New Thread,Verified,Morgan Copy - Outbound Content Performance Review.pptx.pdf,Deck lists best sequences by reply rate and names In Contract - Starts w/ New Thread.,34% reply rate,High,Yes,Yes,Connect to revised In Contract sequence and role in Content Committee.
First-touch principal sequences significantly underperformed vs teacher/support staff,Verified,Morgan Copy - Outbound Content Performance Review.pptx.pdf,Deck says principal first-touch reply rate was significantly low and persona table shows 5%.,5% reply rate for ES/MS-HS principal first-touch,High,Maybe,Yes,Use as insight that informed persona-specific strategy.
Teacher/support-staff sequence performance strong,Verified,Morgan Copy - Outbound Content Performance Review.pptx.pdf,"Persona table shows MS/HS Teacher, General Support Staff, and ES Teacher at 22-24% reply.",22-24% reply rates,High,Maybe,Yes,Tie to solution-oriented teacher content.
Rubric/resource email drove high click engagement,Verified,Morgan Copy - Outbound Content Performance Review.pptx.pdf,Best email templates by click rate included Effective yearbook rubrics.,12% click rate,High,Maybe,Yes,Use as proof of value-first content.
PTA Council strategy generated strong early traction,Verified,PTA Councils.pptx,Deck reports results after about one month and multiple council-level wins.,74% open; 7.4% click; 22% reply; 0 opt-outs,High,Yes,Yes,Find related Salesforce/spreadsheet artifacts if available.
District outreach used channel/ABM-style strategy,Verified,DISTRICT_ 1st TOUCH - Morgan Copy.docx,"14-step sequence built around district process, resource forwarding, vendor registration, samples, and local Vidyard.",N/A,High,Yes,Yes,Look for results data or related district responses.
Content Committee formalized sales-marketing content governance,Verified,Content Committee.pptx + Goals & Action Items,"Pitch and goals docs show team role, sequence review, feedback, collections, snippets, surveys.",N/A,High,Yes,Yes,Find meeting notes and content feedback surveys for deeper proof.
Smart Spreadsheet / sales ops system supported prioritization and data hygiene,Verified,Treering Performance Analysis Request,"Analysis lists target tiers, G-Connector/Salesforce refreshes, blank status/value checks, ownership issues.","113% likely revenue increase; $874,622.63 likely revenue; 42% peer lift",High,Yes,Yes,Open actual Smart Spreadsheet and WorkflowPerformance files.
$3M+ unworked CRM/pipeline claim,Lead / needs direct verification,TreeringAccomplishments_Complete or CRM cleanup docs,Referenced in prior analysis; not yet directly verified in current pass.,$3M+ claimed,Medium,Not yet,Maybe,Locate and open TreeringAccomplishments_Complete and relevant CRM cleanup files.
77-83% open rate claim,Lead / needs direct verification,Unknown / prior analysis leads,Mentioned in prior Gemini/full analysis; not yet directly verified in current pass.,77-83% claimed,Low,No,Maybe,Find source dashboard/screenshot/spreadsheet before using.
"480,000 emails sent claim",Lead / needs direct verification,Unknown / dashboard screenshots possibly,Mentioned in prior Gemini/full analysis; not yet directly verified in current pass.,"480,000 claimed",Low,No,Maybe,Search Outreach dashboard screenshots/data before using.
MPP leadership was metrics-rich and supportive,Verified,22-23 MPP Review Notes + Individual Reviews,"Reviews track activity, engagement, Vidyard, Thnks, opps, conversion, C/W revenue with encouraging coaching.",Multiple rep-level metrics,High,Yes,Yes,Read remaining individual reviews and pod meeting notes.
Smart Spreadsheet was a self-built account prioritization and Salesforce-error monitoring tool,Verified,Morgan_s Smart Spreadsheet.xlsx,Intro says the document helps prioritize accounts and catch record errors; it explains G-Connector refresh and lists statuses/errors to monitor.,N/A,High,Yes,Yes,Review workbook tabs/metadata if converted to native Sheet later.
Year 1 to Year 3 likely revenue increased about 113%,Verified,Year to Year (1-4).xlsx,"Likely Rev row shows Morgan Year 1 $179,651 and Year 3 $382,155.",~112.7% increase,High,Yes,Yes,Use rounded 113% if needed.
"Morgan all-time likely revenue exceeded comparison peer by $259,423.37",Verified,Year to Year (1-4).xlsx,"Likely Rev row shows Morgan all-time $874,622.63 and peer $615,199.26 with difference $259,423.37.","$874,622.63; $615,199.26; $259,423.37 difference",High,Yes,Yes,Can also describe as about 42% higher than peer.
"Hot Zone work was organized by district, round, cleaning/scrub status, school calendar timing, and customer confirmation",Verified,"Morgan_s Hot Zones! Progress, organization, custom.xlsx","Columns include District Name, State, Round #, Teacher Planning, First Day, Scrub status, Customers Confirmed, Customers in District, Notes.",N/A,High,Yes,Yes,May search for Hot Zone outcome/performance metrics next.
PTA Council outreach had a detailed school/PTA unit execution tracker,Verified,Morgan -- PTA Council Events.xlsx,"Workbook tracks PTA unit, contacts/emails, call status, contracts, and notes on decision-makers/referrals.",N/A,High,Maybe,Yes,Use as supporting artifact with PTA Councils deck results.
$3M+ in stale/unworked CRM accounts identified through data cleanup and ownership review,Partially Verified - self-authored source,TreeringAccomplishments_Complete (1).docx,Document describes the CRM cleanup process and directly states there were $3M+ in accounts that had not been worked in a long time.,"$3M+; 2,933+ accounts; 51 states; 565 districts",Medium-High,"Yes, carefully",Yes,Find raw Salesforce reports/dashboards if possible.
PTA Unit President campaign achieved 73% open rate and 25% reply rate,Verified,TreeRing Wrap-Up_ Summer 2016.docx,"Unit President Sequence section lists open rate, reply rate, total responses, and response categories.",73% open; 25% reply; 75 responses; 299 unit presidents emailed,High,Yes,Yes,Pair with campaign copy and follow-up spreadsheet if needed.
19 principal outreach calls created 299 Salesforce contacts,Verified,TreeRing Wrap-Up_ Summer 2016.docx,Principal Outreach section lists 19 principals contacted and 299 contacts created in Salesforce.,19 principals contacted; 299 contacts created,High,Yes,Yes,Find linked call log if available.
"77-83% open rate / 480,000 emails sent claim",Lead - unresolved,Analysis docs + located dashboard screenshot candidate,"Derived analysis documents mention the metrics, and likely screenshot files were located, but no direct readable dashboard source was verified in this pass.","77-83% claimed; 480,000 claimed",Low,No,Maybe,Need raw screenshot/image review or source spreadsheet before use.
Morgan trained new hires on Outreach/Salesforce sequence workflows and 129 available sequences,Verified,SEQUENCE TRAINING FOR NEW HIRES.docx,"Document explicitly walks new hires through Outreach, Salesforce, 129 sequences, smart views, SDR Persona collections, 1st Touch/Re-Approach, bulk sequencing, CC strategy, and workflow judgment.",129 sequences; 55 SDR Persona sequences,High,Yes,Yes,Use as enablement/technical training proof.
Morgan created technical training on Outreach variables and conditional personalization,Verified,SDR Variable Training.pptx,"Deck explains Outreach variables, required syntax, prospect/account/sender variable fields, error handling, if/else and nested fallback logic.",Conditional personalization; nested if/else examples,High,Yes,Yes,Use for marketing ops/CRM/email personalization roles.
