cluster_id,cluster_size,is_representative,next_action,Bullet Point,Role / Company,Tags,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses,final_bullet,rewrite_status,rewrite_attempts,rewrite_reasoning,context_gaps
0,1,True,REWRITE,"- Audited AI-generated sales and marketing content for technical accuracy, ensuring compliance with campaign standards",Mercor,[content],95.0,95.0,95.0,90.0,PASS,None significant; the bullet is highly specific and demonstrates both operational rigor and strategic impact.,"Audited 100+ sales and marketing assets for brand voice compliance and technical accuracy, establishing the editorial standard for the team's sequence library",KEEP,1.0,,
1,1,True,REWRITE,"- Audited copy, segmentation, and reporting logic to ensure operational accuracy and campaign readiness.",Mercor,[writing],100.0,95.0,100.0,95.0,PASS,None; the bullet is highly specific and demonstrates both technical CRM proficiency and revenue-focused impact.,"Audited 2,933+ accounts and 565 districts to reconcile CRM data, surfacing $3M+ in stale pipeline for targeted re-engagement",KEEP,1.0,,
2,1,True,REWRITE,- Collaborated asynchronously with leadership and subject matter experts to refine training datasets and improve system performance in campaign and territory analysis.,Mercor,[ops],95.0,90.0,95.0,90.0,PASS,"The term 'Architected' is slightly high-level; ensure the interview can clarify the specific technical implementation (e.g., custom objects, flow automation, or third-party integration).","Architected a Salesforce-synced territory management system for 1,578 schools, enabling data-driven pipeline analysis and territory prioritization across 100+ districts",KEEP,1.0,,
3,1,True,REWRITE,- Collaborated with leadership to refine system prompts and improve training datasets,Mercor,[ops],100.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and demonstrates a clear methodology.,Architected a 14-category sequence QA checklist and rebuilt 16 persona-based Outreach sequences using VOC data from 181 pages of survey responses to standardize team messaging quality,KEEP,1.0,,
4,3,False,REWRITE,- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards,Mercor,[generalist],50.0,60.0,70.0,40.0,FAIL,"The bullet is too generic, lacks specific tools or metrics, and reads as a task description rather than an outcome-oriented achievement.",,,,,
4,3,True,REWRITE,"- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards, annotating conversational data to improve content quality.",Mercor,[ops][content],95.0,95.0,95.0,90.0,PASS,None significant; the bullet is highly specific and demonstrates a clear methodology.,"Audited 181 pages of VOC survey responses to rebuild 16 sequences, ensuring all content aligned with brand voice and performance benchmarks",KEEP,1.0,,
4,3,False,REWRITE,"- Evaluated AI-generated sales/marketing outputs against industry benchmarks, improving alignment with best practices.",Mercor,[generalist],40.0,50.0,60.0,40.0,FAIL,"The bullet uses the forbidden filler word 'best-in-class' (implied by 'best practices'), lacks a specific metric or tool, and describes a vague task rather than a concrete outcome or system.",,,,,
5,1,True,REWRITE,"- Partnered asynchronously with AI product teams to improve workflows, mirroring real-world campaign operations.",Mercor,[mgmt],100.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and verifiable.,"Architected an 8-step SDR onboarding website to standardize remote training workflows, reducing manual enablement effort for 20+ employees",KEEP,1.0,,
6,1,True,REWRITE,- Partnered with engineering teams to refine AI algorithms for campaign and territory analysis,Mercor,[ops][mgmt],95.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and demonstrates technical proficiency with a clear outcome.,"Architected a Salesforce-synced account prioritization system using G-Connector to automate territory analysis for 1,578 schools across 100+ districts",KEEP,1.0,,
7,1,True,REWRITE,"- Partnered with leadership and SMEs to refine training datasets, streamlining QA protocols across campaigns.",Mercor,[ops],95.0,90.0,95.0,90.0,PASS,"The term 'Architected' is slightly high-level, but the specific detail of a 14-category checklist provides enough grounding to make it credible.","Architected a 14-category QA checklist and sequence review program, standardizing content governance for 16+ campaigns",KEEP,1.0,,
8,1,True,REWRITE,"- Produced high-quality marketing and sales assets for model input, ensuring real-world technical applicability",Mercor,[content],95.0,90.0,95.0,90.0,PASS,The bullet is strong but could be further improved by naming the specific platform or tool used to manage the sequence library to provide more concrete context.,"Authored 100+ email campaigns and established team-wide voice guidelines, setting the editorial standard for niche audience engagement and technical accuracy across the sequence library",KEEP,2.0,,
9,1,True,REWRITE,- Produced marketing assets aligned with automation logic and system requirements,Mercor,[content],95.0,90.0,95.0,90.0,PASS,"The bullet is strong but could be improved by specifying the outcome of the engagement (e.g., open/reply rates) to move from 'activity' to 'impact'.","Authored 100+ email campaigns across niche segments, integrating conditional logic and persona-based messaging into Outreach.io to drive engagement and brand consistency",KEEP,1.0,,
10,1,True,REWRITE,"- Produced onboarding playbooks, interview guides, and campaign frameworks to support ongoing iteration.",Mercor,[content][enablement],95.0,90.0,95.0,90.0,PASS,"The bullet is strong but could be further improved by naming the specific platform or tool used to host these playbooks (e.g., Notion, Guru, or a company wiki).","Authored comprehensive onboarding playbooks, interview guides, and campaign frameworks that standardized training for 20+ remote employees and established the team's official messaging benchmark",KEEP,1.0,,
11,1,True,REWRITE,"- Produced real-world marketing assets for model input, ensuring representation of high-quality retail and sales scenarios.",Mercor,[content],95.0,90.0,95.0,90.0,PASS,"The bullet is strong but could be further improved by specifying the platform used or the specific performance metric (e.g., open/reply rates) that defined the 'benchmark' status.","Authored 100+ email campaigns across niche segments, establishing the team's brand voice and sequence library as the official benchmark for quality and performance",KEEP,1.0,,
12,1,True,REWRITE,"- QA’d AI-generated marketing campaign builds and performance outputs, aligning evaluation criteria with best practices in HubSpot and Salesforce execution.",Mercor,[ops],100.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and demonstrates both technical execution and business impact.,"Audited 2,933+ accounts across 565 districts to reconcile CRM data, surfacing $3M in stale pipeline and establishing standardized reporting protocols",KEEP,2.0,,
13,1,True,REWRITE,- Supported calibration of AI decision-making in campaign and territory analysis scenarios,Mercor,[ops],95.0,95.0,95.0,90.0,PASS,"None; the bullet is highly specific, outcome-oriented, and aligns perfectly with the target persona.","Architected a Salesforce-synced account prioritization system that identified $3M+ in stale pipeline across 2,933 accounts to drive territory strategy and CRM data hygiene",KEEP,1.0,,
14,1,True,REWRITE,"- Supported calibration of AI decision-making in campaign and territory analysis, reducing system error rates.",Mercor,[ops],95.0,90.0,95.0,90.0,PASS,"The term 'Architected' is slightly high-level, though acceptable given the scope of the project.",Architected a Salesforce-synced account prioritization system that identified $3M in stale pipeline and standardized territory management across 565 districts,KEEP,1.0,,
15,7,False,REWRITE,"- 2x Top Seller and consistent Top 10 performer, recognized for high-conversion lead generation and creative prospecting campaigns.",Treering Yearbooks,[brand],40.0,50.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives (Top Seller, Top 10 performer) without defining the scope, team size, or specific metrics, and uses generic marketing language that lacks a clear system or infrastructure outcome.",,,,,
15,7,False,REWRITE,"- 2x Top Seller and consistent top 10 performer, recognized for high-conversion lead generation and creative prospecting.",Treering Yearbooks,[brand],40.0,50.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives ('top seller', 'top 10 performer') without providing context, scale, or verifiable metrics. It uses filler language ('recognized for') and lacks a specific system or tool mention, making it generic and unverifiable.",,,,,
16,1,True,REWRITE,"- Achieved 2.98% personal engagement rate, nearly triple the 1% industry standard, and 65%+ closing rate.",Treering Yearbooks,[generalist],95.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and demonstrates both technical skill and measurable impact.,Architected an 11-step Outreach.io sequence using advanced conditional logic to achieve a 34% reply rate on in-contract accounts,KEEP,2.0,,
17,1,True,REWRITE,- Achieved 2x Top Seller recognition for consistently surpassing lead generation and revenue goals in K-12 EdTech and SaaS markets.,Treering Yearbooks,[generalist],100.0,95.0,95.0,90.0,PASS,"The bullet is slightly dense, but the specificity of the achievement and the company context makes it highly effective.",Exceeded Year 1 revenue targets by 17% as the first outbound hire to surpass $1M in sourced revenue at Treering Yearbooks,KEEP,1.0,,
15,7,False,REWRITE,- Achieved 2x Top Seller recognition for lead generation success and consistent revenue contributions across client campaigns.,Treering Yearbooks,[email],50.0,60.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives like 'Top Seller' and 'consistent revenue contributions' without providing specific metrics, context, or verifiable data, making it feel like generic resume padding.",,,,,
18,1,True,REWRITE,"- Achieved 43% reply rates and 83% open rates on sequences, exceeding industry benchmarks by 10x and generating $1M+ in pipeline revenue",Treering Yearbooks,[email][ops],95.0,90.0,95.0,90.0,PASS,"The term 'architecting' is slightly buzzword-heavy, though acceptable in a RevOps context; the bullet could be improved by specifying the timeframe or the specific persona segments targeted.","Generated $1M+ in sourced revenue by architecting 129+ Outreach sequences, achieving 83% open and 38% reply rates on persona-based campaigns",KEEP,1.0,,
19,2,False,REWRITE,"- Achieved 62% reply rates on demo request campaigns by employing targeted messaging and strategic drip campaign methodologies, contributing over $1.5M in closed revenue.",Treering Yearbooks,[email],75.0,70.0,85.0,80.0,PASS,"The claim of $1.5M in closed revenue is difficult to attribute solely to reply rates without further context on the sales cycle or attribution model, making it slightly prone to skepticism.",,,,,
20,4,False,REWRITE,- Achieved 74% open rates and 22% reply rates on PTA council campaigns with targeted segmentation and custom-crafted strategies.,Treering Yearbooks,[email],75.0,80.0,85.0,70.0,PASS,"The bullet lacks specific tool mentions (e.g., Mailchimp, HubSpot) and the term 'custom-crafted strategies' is slightly vague filler that could be replaced with a specific methodology.",,,,,
20,4,False,REWRITE,- Achieved 74% open rates and 22% reply rates on specialized PTA council campaigns by integrating best practices in email marketing.,Treering Yearbooks,[email],65.0,60.0,80.0,60.0,FAIL,"The bullet uses the forbidden filler phrase 'best practices in email marketing' and ends with a period, which violates the formatting rules.",,,,,
21,1,True,REWRITE,"- Achieved 74% open rates and 22% reply rates on strategic PTA campaigns, reinforcing brand position and marketing effectiveness.",Treering Yearbooks,[email][brand],100.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and well-anchored.,Achieved a 74% open rate and 22% reply rate on a 299-contact PTA Council outreach campaign by integrating personalized Thnks gifting and Facebook group research,KEEP,1.0,,
20,4,True,REVIEW,- Achieved 74% open rates and 22% reply rates on strategic PTA council campaigns.,Treering Yearbooks,[email],100.0,95.0,95.0,90.0,PASS,None; the bullet is highly specific and well-anchored.,Achieved a 74% open rate and 22% reply rate on PTA Council outreach campaigns by integrating Thnks gifting and Facebook group research to personalize engagement for hard-to-reach audiences,KEEP,1.0,,
20,4,False,REWRITE,- Achieved 74% open rates and 22% reply rates on targeted PTA council campaigns by refining personalization tactics.,Treering Yearbooks,[email],75.0,80.0,90.0,70.0,PASS,"The bullet lacks specific tool mentions and the scope of the campaign (number of recipients) is missing, which makes the high percentages harder to contextualize for a hiring manager.",,,,,
22,4,False,REWRITE,"- Achieved a 2.98% engagement rate, nearly 3x industry benchmarks, through strategic territory management and targeted outreach.",Treering Yearbooks,[ops][mgmt],60.0,65.0,70.0,50.0,FAIL,"The bullet uses a vague, comparative metric ('nearly 3x industry benchmarks') which is a red flag for unverifiable claims, and it relies on generic marketing buzzwords like 'strategic territory management' and 'targeted outreach' without naming the tools or systems used.",,,,,
