Finding ID,Source File,URL,Finding Type,Persona / Context,Best Details,What This Proves,Portfolio Potential,Resume Potential,Confidence,Use Caveat,Reviewed,Next Follow-Up,Notes
DF-0001,"Aug 12 2019 -- Call notes, Bill Lanxner.docx",https://docs.google.com/document/d/1BQ4i3U7A9Glav_PjsobGQc-MVC5qBliu,Discovery call notes,Title I / high RLP school; struggling yearbook advisor/band director,"Advisor sold ~45 books out of ~1,000 students; wanted lower cost, no risk, easier selling, and asked to be convinced not to give up on the yearbook.","Deep discovery, empathy, capturing buyer pain, Title I/K-12 fluency, sales-call documentation.",Excellent interview story / qualitative case support,Strong sales discovery proof,High,"Mostly notes from a call led/demoed with TJ, so frame as documented/coordinated discovery, not sole ownership.",2026-05-01,Pair with CALL PRACTICE -- Struggling and any follow-up/opportunity record if available.,"Key themes: no minimums, no risk, pricing, fundraising, low-income community, stress reduction, custom pages, pre-sorted delivery."
DF-0002,CALL PRACTICE -- Struggling (Notes from Aug 12 2019).docx,https://docs.google.com/document/d/18JC-CIcpfJySo8U3Ue7d7a8MIDZt_2zi,Training / call-practice transformation,Title I / high RLP school scenario built from real Bill call,"Real call notes were converted into a training scenario with prospect tone, pain points, questions, objections, and next-step cues.",Ability to convert messy live discovery into reusable enablement/training material.,Excellent enablement artifact,Strong training/process proof,High,"Some content overlaps with Bill call notes; canonical call = Bill notes, training version = call-practice artifact.",2026-05-01,Look for other CALL PRACTICE files to see if this was a broader training library.,This is extremely useful for showing how Morgan codified buyer scenarios.
DF-0003,"Aug 13 2019 -- Demo, Kris.docx",https://docs.google.com/document/d/1PsZ4Lv_BCjSkxRDW8bJ0_P3wMrscPLRH,Demo notes,PTA president / Title I school / possible new advisor doing yearbook herself,"Notes capture software questions, portraits, templates, Spanish materials, online marketing, pricing, personal pages, account setup, and samples.","Demo observation, buyer-needs capture, Title I/ESL sensitivity, product education, sales handoff documentation.",Good supporting artifact,Useful K-12/domain proof,High,"Demo appears led by Kris with Morgan participating/observing; use as support, not solo claim.",2026-05-01,Pair with Spanish materials/Title I messaging if found.,Good proof of understanding PTA/advisor onboarding friction.
DF-0004,"August 29 2019 -- Call Notes, Melissa.docx",https://docs.google.com/document/d/1TKq8or3AHGC0i7big8M6cuTyRWMnJYEc,Discovery / presentation-prep call,PTC lead; new-ish parent org; previous publisher communication pain; upcoming in-person meeting,"Morgan uncovered pain around communication/time zones, minimum orders, deadlines, pricing, parent ordering, shipping, samples, eco value, custom pages, portraits, presentation format, and competitor/shutterfly discount concern.","Strongest solo discovery-call evidence so far: consultative selling, objection handling, competitive positioning, follow-up research.",Excellent qualitative case artifact,Strong interview/resume support,High,Can frame strongly as Morgan-led discovery/prep call.,2026-05-01,Find Bobby follow-up/presentation outcome if available.,"Best quote/detail: she “danced around” pricing, and Morgan did post-call research to find last-year flyer pricing."
DF-0005,CALL PRACTICE -- Super Interested.docx,https://docs.google.com/document/d/14GEhbRAbhSpy2fe_VtfXEGqQ_v5m7Pq_,Training / call-practice + actual call notes,"PTA, public elementary, high RLP community, no prior yearbook","Training scenario and actual notes capture low-risk appeal, no-cost model, license/software questions, turnaround, portraits, delivery, sign-up, and multi-stakeholder demo next step.","Call-prep design, objection anticipation, low-friction sales education, reusable training scenarios.",Good enablement support artifact,Useful sales enablement proof,High,Good but somewhat basic compared with Melissa/Bill.,2026-05-01,Pair with other call-practice docs to show scenario library.,Nice proof of how questions were anticipated before calls.
DF-0006,"CALL PRACTICE -- Formal, Teacher.docx",https://docs.google.com/document/d/1o9oIGqX238TZlia0ahBCvQc2BEW-2WVM,Training / call-practice + actual call notes,Formal private K-12 librarian; all-school purchase; support/Yelp concerns,"Scenario covers support concerns, lack of in-person rep, pricing/quote, samples, software access, demo timing, contracts/minimums, retention rate, references, and private-school fit.","Objection handling, private-school segmentation, support/reputation response, quote/sample/demo next-step handling.",Excellent objection-handling support artifact,Strong sales-call proof,High,Retention-rate claim should be verified elsewhere before using externally.,2026-05-01,Find support/Yelp response playbook or common replies docs for connection.,Useful for showing calm response to reputational objections.
DF-0007,Demo Script - Morgan _3.docx,https://docs.google.com/document/d/1JHSsI8sPO-vecbHpM2vMQ6CSrvqBjIjY,Demo script / product storytelling,Full TreeRing demo and discovery framework,"Script includes qualification, buyer pain discovery, no cost/no contracts/no minimums, turnaround, custom pages, tree planting, dashboard, promote tools, roster/email tools, team management, ordering, shared photos, portraits, styling, editing, proofs, ship-to-home, ads, and support.","Product storytelling, sales/demo architecture, discovery framework, feature-to-value translation, K-12 advisor fluency.",Excellent portfolio/support artifact,Excellent sales/demo enablement proof,High,Long script; extract only the strongest framework pieces for final materials.,2026-05-01,Pair with actual demo notes and training docs.,This is one of the strongest qualitative artifacts in Detective Work.
DF-0008,2021 Content Feedback.xlsx,https://docs.google.com/spreadsheets/d/16y0vTAG6twcm7CR3dkcKfyF6J3gA3qyF,Content feedback / voice-of-sales survey,Team feedback on sequence content and content committee,"Survey praises positive, soft-sell, personalized, human, bullet-pointed content and asks for shorter, more benefit-focused, less salesy, more visual, persona-specific, feature-specific sequence steps.","Cross-functional feedback synthesis, sales voice research, content ops, VOC-driven sequence improvement.",Excellent Content Committee support artifact,Strong marketing/content ops proof,High,"This is feedback intake, not final output; pair with sequence revisions/results.",2026-05-01,Summarize themes and compare to later sequence changes.,Big quote: Content Committee led by people who actually do the job made one respondent “hyped.”
DF-0009,Jan 8 2020 - Marisa.docx,https://docs.google.com/document/d/1QJ7IaFuaQ-lnTfJsGE916cxe5PwLmf51,Discovery call notes,8th-grade memory book pilot; possible future K-12 all-school book,"74 eighth graders; wanted collective memory book, student uploads, 70 pages, flexible page count/delivery, portraits via StompingGround, 14 students + 2 teachers with logins, possible 1,000-student K-12 book next year.","Creative problem-solving, product fit discovery, flexible use-case translation, student/team workflow understanding.",Good qualitative story / demo-prep support,Useful discovery and K-12 workflow proof,High,No direct outcome yet; find demo/follow-up if possible.,2026-05-01,Search Marisa/8th grade memory book later.,Great example of mapping nonstandard use case to features like ads/shared photo folders/editor roles.
DF-0010,"Jan 8 2020 -- Call Notes, Mr. Ray.docx",https://docs.google.com/document/d/1QEbkcfwobzvkOAF2ApJ_pZgDcWiygKzo,Discovery call notes,Student council / starting all-grade yearbook,"Wanted to start all-years yearbook after prior single-grade yearbook; asked about presales, marketing, fundraising, photos, portrait CD, student photo collection, demo.","Concise buyer education, fundraising/pricing explanation, no-minimum risk reduction, demo conversion.",Good support artifact,Useful sales discovery proof,High,Lighter depth than Melissa/Bill.,2026-05-01,Search Mr. Ray/Cox Academy follow-up if needed.,Nice proof of handling ambiguous pricing/fundraising language.
