★  TREERING ARCHIVE EVIDENCE PROJECT,
README & User Guide,Last updated: 2026-05-28
,
━━━  ABOUT THIS PROJECT  ━━━,
Project goal,"Document career evidence (metrics, authorship, leadership) from Morgan Escott's Treering Drive archive for resume, cover letter, interview, and portfolio use."
Review status,"AUDIT RECONCILED 2026-05-12 — Active Inventory shows 0 Needs Review, but the archive was not literally fully closed before this pass. Cleanup retired stale placeholders, corrected one false missing-file row, and restored the missing TR-0619 batch coverage entry. Coverage Tracker now spans TR-0001 through TR-0766 with 760 populated entries; historical ID gaps remain. Genuine exceptions still requiring manual or separate adjudication are documented in the tracker."
Spreadsheet ID,148rc5AxMJuQ4lF5_0OWQaUPzyupwsuu6_haWNhliYLQ
,
━━━  ACTIVE TABS  ━━━,
Coverage Tracker,"PRIMARY EVIDENCE LOG. One row per evidence entry (TR-0001–TR-0766, 760 populated entries; historical ID gaps remain). Use to find evidence by type, folder, score, or keyword."
  → Key columns,Review ID | Evidence Type | Metrics Found | Portfolio Potential | Notes / What to verify next | Confidence | Last Reviewed
  → Relevance Score,1–10. Scores 8–10 = strongest evidence; prioritize these for resume and interview prep.
Active Inventory,"COMPLETE FILE INDEX. One row per Drive file (~1,150 rows). Use to look up any file and find its TR reference and one-line evidence summary."
  → Key columns,Name | Parent Folder | Review Status | TR Reference | Evidence Summary | Priority
  → Review Status values,Reviewed / Skip — not reviewable / Duplicate — defer / Needs Review
Evidence Guide,"THEMATIC CAREER PROOF MAP. Organized by theme, not per file. Use for resume/cover letter drafting — groups evidence into career narrative threads. Rows 36–49+ = themes added in 2026 review sessions."
Detective Findings,INTERPRETATION LAYER. 160 entries (DF-0001–DF-0160). CRITICAL: 'Use Caveat' column (111 entries) has authorship framing guidance. Always check this when drafting career claims.
  → Also contains,What This Proves' (interpretive claim per file) and 'Best Details' (key quote). Use alongside Coverage Tracker when drafting.
Verified Claims,"FACT-CHECK LAYER. Before putting any metric in a resume, check here to confirm it is verified vs. partially verified vs. needs more evidence."
Review Legend,"Definitions for all status values, priority tiers, and evidence types used across tabs."
,
━━━  HOW THE SYSTEM WORKS  ━━━,
Active Inventory,"What files exist, and was each one reviewed?"
Coverage Tracker,What did each reviewed file contain? (one TR entry per finding)
Detective Findings,"How should each piece of evidence be framed? (authorship, caveats, interpretive claims)"
