Source Zip,Folder / Group,Screenshots Reviewed,Metric-Bearing?,New Metrics Extracted?,Duplicate / Context Screenshots,Review Status,Best Use,Notes,Reviewed
Persist Backups,Button Test,1,No,No,1 context-only template/button screenshot,Reviewed,Technical/template context only,Shows button/calendar CTA testing in Persist editor; no performance metrics.,2026-05-01
Persist Backups,"Dem HS, Late Start",5,Yes,Yes,Duplicate summary + step-detail screenshots,Reviewed,High-performing campaign proof,"105 contacted, 96 reached, 84 opened, 50 replied; 88% open / 52% reply. Step detail includes strong step-level replies around scheduling/availability/sample book.",2026-05-01
Persist Backups,Engaged / Asked for Follow Up,3,Yes,Yes,Summary + duplicate/detail screenshots,Reviewed,Follow-up campaign proof,"8 contacted, 8 reached, 8 opened, 4 replied; 100% open / 50% reply.",2026-05-01
Persist Backups,Engaged / Misc CleanUp,2,Yes,Yes,Summary/detail screenshots,Reviewed,Engaged cleanup proof,"30 contacted, 30 reached, 26 opened, 8 replied; 87% open / 27% reply.",2026-05-01
Persist Backups,Engaged / Sent Sample,2,Yes,Yes,Summary/detail screenshots,Reviewed,Sample follow-up proof,"23 contacted, 23 reached, 21 opened, 16 replied; 91% open / 70% reply.",2026-05-01
Persist Backups,Engaged / Task Clean-Up,3,Yes,Yes,Summary/detail screenshots,Reviewed,Task cleanup proof,"82 contacted, 78 reached, 71 opened, 23 replied; 91% open / 29% reply.",2026-05-01
Persist Backups,HZ / 17-18 HZ Follow-Ups,5,Yes,Yes,Summary duplicates + step detail,Reviewed,Older Hot Zone proof,Principal Survey: 107 contacted / 73% open / 1% reply; PST April: 13 contacted / 77% open / 38% reply.,2026-05-01
Persist Backups,HZ / HZ Intro 1st Touch,2,Yes,Yes,Summary + step-detail screenshot,Reviewed,Best Hot Zone cold/warm outreach metric,"89 contacted, 88 reached, 75 opened, 34 replied; 85% open / 39% reply. Step 1 alone shows 88 sent, 82% open, 23% reply.",2026-05-01
Persist Backups,HZ / Parent Group Not Sure If Involved,1,Yes,Yes,Summary screenshot,Reviewed,Small-segment HZ context,"6 contacted, 6 reached, 3 opened, 2 replied; 50% open / 33% reply.",2026-05-01
Persist Backups,HZ / Principals 1st Touch,2,Yes,Yes,Summary + step-detail screenshot,Reviewed,Large HZ principal proof,"274 contacted, 269 reached, 163 opened, 25 replied; 61% open / 9% reply.",2026-05-01
Persist Backups,HZ / Principals Previously Contacted,3,Yes,Yes,Summary + step-detail screenshots,Reviewed,Large HZ principal follow-up proof,"224 contacted, 214 reached, 142 opened, 21 replied; 66% open / 10% reply.",2026-05-01
Persist Backups,HZ / Spring Follow-Ups Previously Contacted,4,Yes,Yes,Duplicate summary + duplicate step-detail screenshots,Reviewed,Large HZ follow-up proof,"228 contacted, 222 reached, 122 opened, 20 replied; 55% open / 9% reply.",2026-05-01
Persist Backups,Local / Parent Org Handles YB,2,Yes,Yes,Duplicate/context screenshots,Reviewed,Small local context,"4 contacted, 4 reached, 2 opened, 0 replied; 50% open / 0% reply.",2026-05-01
Persist Backups,Local / Parent Org Not Sure If Handles YB,1,Yes,Yes,Summary screenshot,Reviewed,Small local context,"4 contacted, 4 reached, 4 opened, 1 replied; 100% open / 25% reply.",2026-05-01
Persist Backups,Local / Office,1,Yes,Yes,Summary screenshot,Reviewed,Local office-staff outreach,"18 contacted, 17 reached, 11 opened, 3 replied; 65% open / 18% reply.",2026-05-01
Persist Backups,Local / Principals with Assistant CC'd,1,Yes,Yes,Summary screenshot,Reviewed,CC strategy context,"61 contacted, 59 reached, 40 opened, 7 replied; 68% open / 12% reply.",2026-05-01
Persist Backups,Local / Yearbook Advisor,1,Yes,Yes,Summary screenshot,Reviewed,Local advisor outreach,"9 contacted, 8 reached, 5 opened, 2 replied; 63% open / 25% reply.",2026-05-01
Persist Backups,Private / Administrators,4,Yes,Yes,Summary + step-detail screenshots,Reviewed,Large private-school principal campaign,"505 contacted, 493 reached, 414 opened, 94 replied; 84% open / 19% reply.",2026-05-01
Persist Backups,Private / Lower-Elementary Managed at School,2,Yes,Yes,Summary/detail screenshots,Reviewed,Small private-school segment,"14 contacted, 14 reached, 12 opened, 5 replied; 86% open / 36% reply.",2026-05-01
Persist Backups,Private / Lower-Elementary Managed by Parents,8,Yes,Yes,Includes duplicate Private Principals screenshots plus tiny parent-managed segment summaries/details,Reviewed,Small private-school parent-managed context,"Includes duplicate 505-contact principal summary plus two 1-contact microsegments: one 100% open / 0% reply and one 100% open / 100% reply. Use only as context, not major proof.",2026-05-01
Persist Backups,Private / Middle-High-K-12,3,Yes,Yes,Campaign list + detail + summary screenshot,Reviewed,Strong private-school segment proof,"43 contacted, 39 reached, 37 opened, 21 replied; 95% open / 54% reply. Campaign list also shows related private segments.",2026-05-01
Persist Backups,Private / Office Staff,2,Yes,Yes,Summary/detail screenshots,Reviewed,Private office-staff outreach,"14 contacted, 14 reached, 11 opened, 3 replied; 79% open / 21% reply.",2026-05-01
Persist Backups,Private / Parent Group Not Sure If Involved,3,Yes,Yes,Summary/detail duplicate screenshots,Reviewed,Small private-school parent-group context,"3 contacted, 3 reached, 2 opened, 1 replied; 67% open / 33% reply.",2026-05-01
Persist Backups,Soapbox,1,No,No,1 context-only video/template screenshot,Reviewed,Creative/video personalization context,"Shows a “Made this video for you!” template with embedded video, useful for creative outreach evidence; no performance metrics.",2026-05-01
