Evidence Cluster,Finding,Source File(s),Best Detail / Quote,Best Metric,What This Proves About Morgan,Where to Use It,Confidence,Source URL / Notes
Campaign Performance,"Spring 2022 sequence performance was analyzed by persona, reply rate, click rate, and template step.",Morgan Copy - Outbound Content Performance Review.pptx.pdf,Principals were more likely to click than reply; support staff were more likely to reply than click.,34% reply rate for In Contract - Starts w/ New Thread; principal first-touch reply rate around 5%.,"Lifecycle/campaign analytics, persona segmentation, performance optimization.",Resume achievement; portfolio case study; interview story.,High,https://drive.google.com/file/d/10TmUmhDPE2bLACUHy2Zkzki7flFH_1Qb
Competitive Displacement,The In Contract sequence was revised into a strategic nurture flow for prospects locked into other vendors.,"Morgan_CC_ In Contract, Draft 2 with Thoughts! + Sequence Review In Contract","Removed brittle personalization, varied asks, added value/resources, moved strongest no-contract point earlier.",Tied to 34% reply performance cluster.,"Strategic copywriting, objection handling, long-cycle nurture, sales empathy.",Portfolio case study; resume bullet for lifecycle/sequences.,High,https://drive.google.com/file/d/1WE4NnTUUto0MXsr60cD3aUJnmgdYose3
District / ABM Outreach,District 1st Touch turned school-by-school outreach into district/channel-style outreach.,DISTRICT_ 1st TOUCH - Morgan Copy.docx,"14-step flow: right-place check, vendor registration, resources, samples, promotions, quote, Vidyard, next-year planning.",N/A,"Channel thinking, ABM instincts, K-12 market fluency, campaign architecture.",Portfolio centerpiece for strategic outreach.,High,https://drive.google.com/file/d/1MINSZduWphIY43V47wCeUy1CfT1brZos
PTA Top-Down Strategy,"PTA Councils deck trained the team on PTA structures, Salesforce setup, customization, and overlap rules.",PTA Councils.pptx,These emails are meant to be 100% customized.,74% open; 7.4% click; 22% reply; 0 opt-outs.,"Enablement, local relevance, research, sales ops, top-down strategy.",Resume; portfolio; interview example.,High,https://drive.google.com/file/d/1Z3h2cXcAGxFqMltyNy2jXY2eBrMhIP_f
Sequence Operating System,"2nd Semester Sequence Review maps personas, steps, topics, CTAs, resources, variables, and QA.","2nd Semester Sequence Review, 21-22.xlsx","QA included persona language, stage, subject lines, resources, greetings, feedback, Grammarly, Outreach build, variable proofing, formatting, test-drive, launch.",N/A,"Process design, campaign operations, content QA, Outreach implementation.",Portfolio artifact; resume process bullet.,High,https://drive.google.com/file/d/1z95rCBYRFr8PM0kC_rCc_EjvaZudVoM7
Content Operations,Content Committee pitch shows formal Sales/Marketing content governance argument.,Content Committee.pptx,We’ll get much better outbound sequence results if the people writing them are actually in Outbound.,N/A,"Cross-functional advocacy, content governance, strategic communication.",Portfolio case study; leadership proof.,High,https://drive.google.com/file/d/1Bramq3CbOs3PIlvstoPyyfJa0NqS3007
Content Governance,"Content Committee goals doc lays out snippets, collections, surveys, review calendars, awards, and nurture ideas.",Content Committee 21-22 Goals & Action Items.docx,Manage Content Committee Collection; build a Snippet Library; collect feedback and ideas.,N/A,Operationalizing content feedback and team-wide enablement.,Marketing operations resume proof.,High,https://drive.google.com/file/d/15_IqurVcLOqpjVTf-gSkN1w6pUunOinB
Sales Ops / CRM Intelligence,Performance analysis frames Smart Spreadsheet and segmentation system.,Treering Performance Analysis Request,"Hot Zones, Private, Green, Title I, and data hygiene sheets for blank statuses and value issues.","113% likely revenue increase; $874,622.63 all-time likely revenue; 42% higher than peer comparison.","CRM intelligence, segmentation, prioritization, data hygiene.",Sales Ops case study; CRM resume bullets.,High,https://docs.google.com/document/d/1RTXEcweLaZhsH2EfPW2oBDT3NZMvqugMI77xS_GRPzY
Enablement / Technical Training,"New hire training captured Outreach/Salesforce workflow judgment, not just tool steps.",SEQUENCE TRAINING FOR NEW HIRES.docx,Bulk sequencing saves endless hours but requires care because template edits can overwrite custom language.,References 129 sequences.,"Team training, process documentation, technical enablement.",Resume leadership bullet; portfolio support artifact.,High,URL needs attachment from source result
Technical Personalization,Variable training proves advanced Outreach conditional logic.,SDR Variable Training.pptx,Teaches if/else and nested variable logic for personalization fallback.,N/A,CRM/email personalization at scale; technical marketing fluency.,Technical skills; portfolio support artifact.,High,URL needs attachment from source result
People Leadership,"MPP reviews show metric-rich, psychologically safe coaching.",22-23 MPP Review Notes + individual reviews,"No stress, we’ve got this; paired with detailed scorecards and action plans.","Examples include 87 Vidyards, 75.54% conversion, $197,699.21 C/W revenue for one direct report.","Data-driven coaching, team development, performance management.",Leadership resume bullets; interview story.,High,Multiple MPP docs
Feedback Loop,MPP Feedback doc created a structured pod-to-leadership feedback system.,MPP_ Team + Treering Feedback!.docx,"Pod members could add resources wanted, process changes, ideas for future, and anything to pass along.",N/A,"Psychological safety, team voice, cross-functional synthesis.",Leadership case study.,High,https://drive.google.com/file/d/1Bnjt3rnXWYW2EUf4OC2s8pM5uBolM3xS
Smart Spreadsheet System,Smart Spreadsheet directly states its job: prioritize accounts and catch Salesforce record errors that would otherwise be missed.,Morgan_s Smart Spreadsheet.xlsx,"This document helps me prioritize my accounts, and watch out for errors in records that I might not catch otherwise.",N/A,"CRM hygiene, prioritization, Salesforce/G-Connector workflow design, self-built revenue operations system.",Sales Ops case study; resume CRM bullet.,High,https://drive.google.com/file/d/1qS9yegQlMLfrZbtym6klJRNzKyovmSTg
Hot Zone Execution,"Hot Zone workbook confirms district-by-district rollout planning, cleaning/scrubbing, customer confirmation, and start-date timing.","Morgan_s Hot Zones! Progress, organization, custom.xlsx","Rows track Owner, District Name, State, Round #, Teacher Planning, First Day, Scrub status, Customers Confirmed, and District Notes.",N/A,"Territory strategy, phased campaign planning, local social proof, account research.",Portfolio support artifact; resume segmentation proof.,High,https://drive.google.com/file/d/1-f83F5KD6egOaG5NRIOYavSY5XS0Fftt
Revenue Performance,Year-to-year workbook directly verifies Morgan vs peer likely revenue and opp-created comparison.,Year to Year (1-4).xlsx,"Morgan likely revenue: $179,651 in Year 1, $273,631 in Year 2, $382,155 in Year 3, all-time $874,622.63.","$874,622.63 all-time likely revenue; $259,423.37 above comparison peer; Year 1 to Year 3 likely revenue +112.7%.","Quantitative revenue impact, improved quality/value of opportunities, performance differentiation.",Resume achievement; interview proof; Sales Ops case study support.,High,https://drive.google.com/file/d/18u6sjU1QNxCq48zp3RsaB3CspSXkGYxp
Targeted High Schools,Targeted High Schools workbook shows account-level segmentation and history-aware targeting.,Morgan -- Targeted High Schools.xlsx,"Rows include school IDs, school names, district/state, contact roles/emails, status notes like 16-17 Opp, Bad Fit, Customer, In Contract, No Opp.",N/A,"Research discipline, target-account building, campaign relevance, contact strategy.",Supporting portfolio artifact; resume proof for custom prospecting databases.,High,https://drive.google.com/file/d/1jKQ9eOjdocdky6juGXfSBQBmhBSYmqUa
PTA Council Execution,PTA Council Events workbook shows execution layer behind PTA/top-down outreach.,Morgan -- PTA Council Events.xlsx,"Rows track PTA unit, contact details, status notes, contracts, current publisher happiness, referrals to principal/decision-maker.",N/A,"Channel-style outreach, grassroots PTA mapping, relationship/objection tracking.",Support artifact for PTA Council case study.,High,https://drive.google.com/file/d/1MgwjAcZIhbRowz8XsV7R-YwqpTCV3LKB
CRM Recovery / Data Cleanup,TreeringAccomplishments_Complete directly documents the $3M+ CRM cleanup story and the process behind it.,TreeringAccomplishments_Complete (1).docx,"Cross-referenced users, ownership, no-value accounts, enrollment/free-reduced lunch/private-school issues, duplicates, and stale modification dates before finding $3M+ in accounts that had not been worked in a long time.","$3M+ stale/unworked CRM account value; 2,933+ accounts; 51 states; 565 districts","CRM hygiene, Salesforce/account ownership cleanup, process building, enablement, data-driven territory recovery.",Sales Ops case study; resume bullet with caveat.,Medium-High,https://drive.google.com/file/d/1RIzXwFJkuG3TQ4J-C0tj2XG3eWA-XyCf
Summer 2016 PTA Campaign Performance,PTA wrap-up directly verifies a high-engagement campaign and Salesforce contact-generation result.,TreeRing Wrap-Up_ Summer 2016.docx,"Unit President Sequence: 73% open rate, 25% reply rate, 75 responses; Principal Outreach: 19 principals contacted and 299 Salesforce contacts created.",73% open; 25% reply; 75 responses; 299 unit presidents emailed; 299 Salesforce contacts from 19 principal calls,"Email performance, PTA/channel outreach, lead generation, Salesforce contact creation, campaign reporting.",Resume achievement; campaign case study.,High,https://drive.google.com/file/d/1dd3kT_XpC25GbmjIzVYIqrRC4D4Mawej
Outreach Dashboard Screenshot Lead,"A likely dashboard screenshot was located, but its contents were not readable through the API fetch path.",File-Screen Shot 2022-04-27 at 12.12.52 PM.png,Metadata confirms the PNG exists in Drive; API fetch/export could not extract the image content.,"Possible source for 480,000 emails / 77% dashboard claims, unverified",Follow-up target for direct visual verification.,Do not use yet except as a research lead.,Low-Medium,https://drive.google.com/file/d/1t67j05wFtQhqN21PxoWzGM_e7mB3pgXx
Sales Enablement / Outreach Training,"New hire sequence training proves Morgan could train SDRs on Outreach/Salesforce workflows, not just write sequences.",SEQUENCE TRAINING FOR NEW HIRES.docx,"Training opens with Morgan framing Outreach and sequences as her “personal little corner of expertise,” explains 129 sequences, 55 SDR persona sequences, 1st Touch vs Re-Approach, bulk sequencing, CC strategy, Sales Cycle sequences, PTA Council and District sequences.",129 sequences; 55 SDR Persona sequences,"Enablement, process documentation, Outreach/Salesforce fluency, judgment around personalization vs bulk efficiency.",Resume leadership bullet; enablement case study; interview story.,High,https://docs.google.com/document/d/1M33GQ5wfBfE_kk9TyK5CBZCh7Tts8a68
Technical Personalization / Outreach Variables,Variable training proves advanced personalization and troubleshooting chops in Outreach.,SDR Variable Training.pptx,"Deck teaches prospect/account/sender variables, Personal Notes, date-based variables, syntax rules, preview/error checks, if/else statements, nested fallbacks, and an Outreach challenge for reps to create/test snippets.",Conditional if/else personalization; nested fallback example,"Marketing ops, lifecycle/email personalization, scalable customization, QA, tool training.",Technical skills section; portfolio support artifact; sales enablement proof.,High,https://docs.google.com/presentation/d/1sOw2reyV9opCUFO0rY5OChtAG_8F5Z2Y
Hot Zone Personalization Strategy,Hot Zone + Outreach Coding Ideas verifies the strategy behind localized HZ messaging and scalable Outreach personalization.,Hot Zone + Outreach Coding Ideas.docx,"The doc recommends using district/customer lists, state customer counts, local references, recently closed schools, trees planted, Personal Note fields, and if/else Outreach code to make broad campaigns feel local and specific.",No raw performance metric,"Localized ABM-style thinking, Salesforce-backed personalization, Outreach variable strategy, and scalable campaign relevance.",Hot Zone/ABM portfolio case study; CRM/email personalization proof.,High,https://docs.google.com/document/d/1QXlwkLPkDE0OyFiTFqF5lAfJFTcVKyZb
Hot Zone PTA Reapproach Sequence,"The Hot Zone PTA Reapproach sequence is a long-cycle nurture flow designed around handoff timing, local social proof, samples, fall discounts, flexible production, and future-year re-entry.","Morgan Edit, Hot Zone PTA Reapproach.docx","14 scheduled touches from August to June, including district customer proof, local references, sample/idea book offers, early-purchase discounts, four-week turnaround, Earth Day/tree messaging, and summer/fall follow-up options.",No raw performance metric,"Lifecycle sequencing, warm PTA copy, long-cycle nurture, customer-proof messaging, and non-pushy follow-up strategy.",Campaign copy support artifact; portfolio sequence example.,High,https://docs.google.com/document/d/1bc5o-Pt5JdTf1DGaj3ohHKToWzOqoPCT
High-Value District Planning,"HZ Follow Ups by District verifies district-level prioritization, high-value targeting, and campaign execution flags across many districts and hundreds of schools.",HZ Follow Ups by District.xlsx,"Top district values include Wake County $1.3M, Cobb $789K, Fulton $689K, Prince William $653K, San Francisco Unified $461K, Greenville $438,186, and Gwinnett $390K; sheet tracks campaign planned, names added/approved, and campaign sent.","District values and campaign execution flags, not open/reply metrics","Territory planning, campaign operations, account prioritization, and hot-zone segmentation.",Sales Ops/CRM case study; resume support for targeted account strategy.,High,https://docs.google.com/spreadsheets/d/19Htn4nM8q9Om1MnsbhJP2WO9sWA1gnaU
Wake PTA Event Activation,"Wake Summer 2019/Wake PTA copy supports the already-verified 73% open / 25% reply PTA campaign by showing event sponsorship, local relevance, sample offers, and follow-up copy.",Wake Summer 2019 Event Emails + Wake County PTA May 2019 follow-up,"Copy references WCPTA New Officer Training, TreeRing as silver sponsor, local Wake County schools, event table, sample book offers, software tours, trial accounts, and low-pressure follow-up.",No raw metric in these docs; pairs with TreeRing Wrap-Up metrics,"Event-based outbound, partner/channel activation, PTA messaging, and warm follow-up strategy.",Portfolio support for PTA campaign; contextual evidence behind verified metrics.,High,https://docs.google.com/document/d/1ehTkT5t4sESCS9AFdV4uNZFTCQz31_yg
Persist Screenshot Metrics,Uploaded Persist dashboard screenshots directly verify several high-performing campaign metrics that were previously unresolved.,Persist Backups screenshot batch,"The strongest verified cold/warm Persist examples include 18-19 HZ Follow-Ups Spring 1st Touch at 85% open / 39% reply, Dem HS Late Start at 88% open / 52% reply, Private School Principals at 84% open / 19% reply across 505 contacted, and Sent Sample follow-up at 91% open / 70% reply.",85% open / 39% reply; 88% open / 52% reply; 84% open / 19% reply across 505 contacted; 91% open / 70% reply,"Email/outreach campaign performance, segmentation, copy effectiveness, local/Hot Zone strategy, follow-up strategy.",Resume metrics; portfolio case study; interview proof.,High,Uploaded zip: Persist Backups-20260501T050315Z-3-001.zip
20-21/21-22 Sequence Screenshot Metrics,"Uploaded Sequences dashboard screenshots verify the 480,000 emails claim and several high-performing sequence snapshots.",Sequences screenshot batch,"Team Honors screenshot lists 77% lead conversion, 82% opportunity conversion, 74,000 activities, 16,000 calls, and 480,000 emails for SDRs. 20-21 sequence screenshots show rows with 77%-83% open and up to 38% reply for SDR persona sequences.","480,000 emails; 16,000 calls; 74,000 activities; 77% lead conversion; 82% opp conversion; 77%-83% open-rate range","Scale of SDR team activity, sequence performance, year-over-year campaign operations, evidence for prior open-rate claim.",Resume/team-scale proof; portfolio context.,High,Uploaded zip: Sequences-20260501T050359Z-3-001.zip
Sequence Program Architecture & Seasonal Strategy,"The CC-led 22-23 sequence rebuild was a full program redesign — phased project plan, 14-category QA checklist, month-by-month messaging calendar across 6 personas, step-count timing analysis, and Morgan owning the Outreach build and LIVE launch.","CC Summer 2022_ Sequences, etc_.xlsx (DF-0058); Notes for Sequence Review Meeting Sept 10 2021.docx (DF-0077); Outreach Sequence List.docx (DF-0078); Kickoff Meeting Agenda!!.docx (DF-0068)","14-category QA checklist covers: persona language, stage language, timing, feedback inclusion, greetings, closings, subject lines, body copy, helpfulness, length/style, holiday refs, school year accuracy, links/Vidyards/attachments, variables, font, line breaks.","Template leaderboard: TRL email 1 = 48% open / 0.6% reply (2,743 delivered); Closed Won <$6K = 60% open / 30% reply / 37% clicked; Digital Sample = 76% open / 24% reply / 71% clicked.","Systems-level sequence program ownership — not just copy, but architecture, QA, launch, and performance analysis across a full 16-sequence, 6-persona program.","Resume: sequence program ownership — architecture, QA, launch, performance analysis. Portfolio: centerpiece case study for full-lifecycle sequence program design.",High,DF-0058 + DF-0077 + DF-0078 + DF-0068
SDR Training Program Design & Process Ownership,"Morgan built an 8-step SDR onboarding website (escottmorgan.wixsite.com/processmap) used as official training infrastructure, linked in the company SDR training deck alongside the SDR Playbook and Outreach Tag List.","Training_ Research, Contacts, Prospects, & Sequenc.pptx (DF-0075); SEQUENCE TRAINING FOR NEW HIRES.docx; SDR Variable Training.pptx","Site includes: 8-step workflow (Receive Accounts through Set Meetings), tool guides (Salesforce, Outreach, Gmail, Grammarly, Vidyard), Important Docs, Sales Drive, Community feedback, Support (glossary, FAQ, team directory). Opening quote: 'If you can't describe what you're doing as a process, you don't know what you're doing.' — W. Edwards Deming.",N/A — qualitative authorship and process ownership,"Morgan was not just a practitioner but the architect of SDR onboarding infrastructure: she built, published, and maintained the process map used to train the entire team.",Resume: 'Built and maintained official SDR onboarding website and training infrastructure.' Portfolio: live URL as proof artifact — escottmorgan.wixsite.com/processmap.,High,DF-0075 + escottmorgan.wixsite.com/processmap
Territory Management at Scale — Hot Zone System,"Morgan managed a HZ territory of 1,578 schools across 100+ districts with strategic Keep/Give decisions, a self-built 40+ column multi-stakeholder district tracking system, Salesforce-generated performance reports, and geographic territory mapping in Google Earth.",ALL HZ Schools-2021.xlsx (DF-0070); Morgan _ Hot Zones 20-21.xlsx (DF-0065); Master -- New Of-Value Hot Zone Schools.xlsx (DF-0064); CW Customers by District in CA.xlsx (DF-0071); 18_19 HZ Follow-Ups Spring CSV (DF-0069),"Over my dead body' for Wake County (128 schools). 'HIGH VALUE DISTRICT but high difficulty' for Cobb (60 schools). Self-built 40+ column system tracks district contacts, superintendent, multiple PTA council layers, fall scheduling, Feedly, green school tracking, and competitive intel via neighbor districts.","1,578 total schools managed (Keeping 942, Giving 636); top district values: Wake County $1.3M, Cobb $789K, Fulton $689K, Prince William $653K, Gwinnett $390K.","Enterprise-scale territory management — district-based ABM thinking, Salesforce CRM integration, multi-stakeholder contact strategy, and the discipline to build tools to manage complexity rather than rely on intuition.","Resume: territory management at scale, CRM/Salesforce integration, multi-state account portfolio. Portfolio: HZ territory management case study with district-level data.",High,DF-0070 + DF-0065 + DF-0064 + DF-0071 + DF-0069
Voice-of-Sales Research Design & Execution,"Morgan designed and executed multiple VOC research instruments — a principal survey outreach sequence, anonymous sales team feedback forms, and the Content Feedback Survey May 2022 — collecting 181 pages of real team responses that directly informed the CC sequence rebuild.",Principal Survey.docx (DF-0054); Content Feedback Survey_ May 2022.docx (DF-0048); Responses_All_220608.pdf (DF-0073); March Friday Sequence Meeting.docx (DF-0063),"Anonymous feedback channel designed explicitly 'to build some trust back, let them know they're going to be heard' — mirroring company-level surveys. Survey categories: inbound/outbound sequences, favorite emails, subject lines, open/reply/click performance, customizations, Vidyards, emojis, opt-outs, and future ideas.",181 pages of collected responses from the May 2022 Content Feedback Survey.,VOC research methodology at work — from instrument design to execution to analysis to action. Morgan closed the full loop from research to rebuild.,"Resume: 'Designed and executed VOC research loop — instrument design, execution, 181 pages of responses, action.' Portfolio: proof of full research → rebuild cycle.",High,DF-0054 + DF-0048 + DF-0073 + DF-0063
Three-Layer Sequence Narrative: Erika → Kristina Takeover Attempt → CC Split + Win,"The full sequence program arc spans three eras: (1) Erika (Marketing) wrote sequences that lacked brand voice; (2) Kristina (new VP Marketing) attempted to take over ALL sequences — Morgan fought to stay involved and negotiated a split with Bobby's approval; (3) Morgan wrote the niche sequences (Private School, Title 1, HZ-adjacent); team preferred her writing so strongly they used niche sequences for non-niche prospects and manually adjusted verbiage.","Content Committee - Recent Topics.docx (DF-0072); Notes Dec 16 (DF-0108); Kristina Bobby To Do 1st Meeting (TR-0187); ERIKA files (DF-0061); CC Summer 2022 (DF-0058); Title 1 / Private School sequences (DF-0088, DF-0089, DF-0099); CC Edit In Contract (DF-0057)","Best detail: 'Overwhelming consensus is that we’d like to get our own voices back.' (DF-0072) / 'This was the assignment as we understood it, Erika had, Here’s how we attacked them.' (DF-0108) / Team used Morgan’s niche sequences for non-niche prospects because they preferred the writing — had to be stopped because it skewed engagement data (confirmed by Morgan). Erika was devastated by the rewrite; this was a Kristina-to-Erika communication failure, not Morgan’s decision.",In Contract: 34% reply rate. ERIKA baseline: no verified metrics. Niche sequence metrics may be artificially elevated due to reps mixing audiences.,"Identified a recurring cross-functional gap (brand voice missing from Marketing-written sequences across two VPs), negotiated continued ownership with leadership, wrote the sequences the team actually wanted to use, and produced measurable results. Three-layer arc: gap identified → fought to stay involved → outperformed. Caveat: ERIKA rework caused a real rift; Morgan empathizes and was acting on Bobby’s direction.","Portfolio: the full three-era sequence arc is a complete case study on its own. Interview: strong story about identifying a recurring gap, fighting to stay involved, and outperforming. Resume: use carefully with context.",High,DF-0072 + DF-0108 + TR-0187 + DF-0061 + DF-0058
Sales Discovery / Call Notes,Call notes show Morgan documenting buyer pain at high resolution and translating it into TreeRing value propositions.,Melissa call; Bill call; Kris demo notes,"Best details include Title I/high RLP contexts, only 45 books sold out of ~1,000 students, communication pain with prior publisher, minimum-order anxiety, pricing/fundraising questions, parent-ordering concerns, and post-call research into competitor pricing.","Qualitative, not numeric performance","Consultative selling, K-12 empathy, discovery rigor, objection handling, competitive positioning.",Interview stories; portfolio supporting proof for human-first outreach.,High,See Detective Findings DF-0001 through DF-0004
Call Practice / Enablement Library,"Call practice docs show real buyer calls converted into reusable training scenarios by persona, tone, pain points, questions, objections, and next steps.",CALL PRACTICE -- Struggling; CALL PRACTICE -- Super Interested; CALL PRACTICE -- Formal Teacher,"Scenarios include prospect tone, likely opening lines, upfront questions, situation details, objections, and actual call notes.",N/A,"Enablement design, call coaching, training material creation, buyer-persona fluency.",Portfolio/supporting artifact; resume proof for training/process documentation.,High,"See Detective Findings DF-0002, DF-0005, DF-0006"
Demo Framework / Product Storytelling,"Demo Script - Morgan _3 is a full product demo framework that links discovery, value props, logistics, software walkthrough, advisor pain points, and next steps.",Demo Script - Morgan _3.docx,"Script covers qualification, no cost/no contracts/no minimums, turnaround, custom pages, tree planting, dashboard, sales tracking, promote tools, roster/email tools, team roles, orders, shared photos, editing, portraits, ads, support, and pricing handoff.",N/A,"Product storytelling, demo architecture, sales enablement, K-12 workflow fluency.",Portfolio/support artifact; interview proof.,High,https://docs.google.com/document/d/1JHSsI8sPO-vecbHpM2vMQ6CSrvqBjIjY
Voice-of-Sales Content Research,"2021 Content Feedback verifies formal team feedback intake around sequence voice, structure, personalization, and content needs.",2021 Content Feedback.xlsx,"Team praised upbeat, soft-sell, human, personalized content and asked for shorter, benefit-focused, less salesy, more visual, more persona/feature-specific sequences.",N/A,"Content research, feedback synthesis, cross-functional sales/marketing alignment, VOC-driven copy optimization.",Content Committee case study; marketing ops proof.,High,https://docs.google.com/spreadsheets/d/16y0vTAG6twcm7CR3dkcKfyF6J3gA3qyF
Content Committee — Formal Org Leadership,"Morgan founded the Content Committee in January 2021, grew it from 0 to 9 members over 15 months, secured executive authorization for template creation and a real prize budget, ran annual feedback surveys, and held three distinct operational roles within it: Surveys & Feedback, Final Formatting, and Sequence Stats.",First Content Meeting.docx (TR-0373); Untitled document(41).docx (TR-0436); CC Notes 4.27.22.docx (TR-0378); Content Feedback Survey May 2022 (TR-0379); Content Feedback June 2021.pptx (TR-0380),"""I posed the idea of regular Content Awards, similar to Number of the Day. Bobby is willing to give us a real budget for the prizes."" // ""Once she takes a look and gives it the green light, it'll go live in a Collection that is all ours."" // First Content Meeting doc is the CC origin document — Morgan ran the inaugural meeting and set the mission.",CC grew to 9 members; 40+ question annual feedback survey; 15 survey respondents June 2021; Bobby authorized real prize budget,"Built and led a cross-functional content organization from scratch — not just a contributor but the architect, chair, and sustaining force for 2+ years.",Resume leadership bullet for CC founding; portfolio org-design case study; interview story about identifying a gap and institutionalizing a solution.,High,TR-0373 + TR-0436 + TR-0378 + TR-0379 + TR-0380
