Review ID,Folder/Lane,Subfolder,Filename,File Type,Drive URL,Bucket/Lane,Review Status,Priority,Relevance Score,Evidence Type,Metrics Found,Portfolio Potential,Resume Potential,Duplicate/Derivative?,Needs Follow-Up?,Notes / What to verify next,Confidence,Last Reviewed
TR-0001,_Control / Index,_root,file_list.txt,TXT,https://drive.google.com/file/d/1r4_T8vzlVn53EakEBbE3wEy3Sduw7E4D,Control / Index,Retired — No Longer Needed,Low,10,Inventory / control file,N/A,Foundation for full audit,Foundation for full audit,No,No,Outdated control file — superseded by Coverage Tracker. Retired 2026-05-12.,High,2026-04-30
TR-0002,_Control / Index,_root,TreeringFiles_FullAnalysis,Google Doc,https://docs.google.com/document/d/1IO6YRqdXiIvxE6KH7D_mB7jFuBPbtzwPW3E3uB2qNZU,Control / Gemini lead sheet,Retired — No Longer Needed,Low,7,Prior analysis / leads,Unverified lead claims,"Useful as map, not proof","Useful as map, not proof",No,No,Outdated Gemini lead sheet — superseded by verified file-level review. Retired 2026-05-12.,Medium,2026-04-30
TR-0003,TrainingGuides / Sequences,TrainingGuides,Morgan Copy - Outbound Content Performance Review.pptx.pdf,PDF / deck export,https://drive.google.com/file/d/10TmUmhDPE2bLACUHy2Zkzki7flFH_1Qb,Money Makers,Reviewed - Verified,Critical,10,Performance analysis / reporting,34% reply rate; 5% principal first-touch reply rate; 12% click rate on rubric email,Excellent case study anchor,Excellent resume proof,Derivative export,No,Verified performance deck; strongest campaign analytics artifact so far.,High,2026-04-30
TR-0004,TrainingGuides / Sequences,TrainingGuides,Morgan Copy - Outbound Content Performance Review.pptx,PPTX,https://drive.google.com/file/d/1a6hxwyqxkmXq_--VfQbgdLvt7N6Vl9fk,Money Makers,Duplicate / Derivative,High,9,Original deck file,Likely same metrics as PDF export,Excellent if visual artifacts needed,Excellent if original source needed,Yes,Maybe,Original deck located; PDF was easier to verify text. Review visual slides later if needed.,High,2026-04-30
TR-0005,Misc / Analysis,Unknown / generated analysis,Treering Performance Analysis Request,Google Doc,https://docs.google.com/document/d/1RTXEcweLaZhsH2EfPW2oBDT3NZMvqugMI77xS_GRPzY,CRM / Sales Ops,Reviewed - Verified,Critical,10,Performance / CRM analysis,"113% likely revenue increase; $874,622.63 all-time likely revenue; 42% peer comparison lift",Excellent Sales Ops case study,Excellent resume proof,Possible duplicate exists,Yes,Need decide which duplicate copy is canonical; verify Smart Spreadsheet rows next.,High,2026-04-30
TR-0006,Feedback / Sales Enablement,Feedback,Responses to Common Replies! - By Morgan & Jen _3.docx,DOCX,https://drive.google.com/file/d/1TLXYCaceflZUEoaaGO6iTuxmUJuc79jd,Sales Voice / Enablement,Reviewed - Verified,High,9,Objection handling / playbook,No direct numeric metrics,Strong enablement/copy artifact,Strong sales enablement proof,No,No,"Shows warm, low-friction objection handling and future-timing strategy.",High,2026-04-30
TR-0007,TrainingGuides / Sequences,TrainingGuides,SEQUENCE TRAINING FOR NEW HIRES.docx,DOCX,https://docs.google.com/document/d/1M33GQ5wfBfE_kk9TyK5CBZCh7Tts8a68,Leadership Sandbox / Enablement,Reviewed - Verified,Critical,10,Training / onboarding / process,129 sequences; 55 SDR Persona sequences; Outreach + Salesforce process; bulk sequencing; CC strategy; PTA/District sequences,Excellent enablement case study,Excellent leadership/training bullet,No,No,"Exact URL attached; content verifies warm technical training voice, Outreach/Salesforce workflow judgment, sequence taxonomy, personalization, bulk import risks, and underused CC strategy.",High,2026-04-30
TR-0008,TrainingGuides,TrainingGuides,SDR Variable Training.pptx,PPTX,https://docs.google.com/presentation/d/1sOw2reyV9opCUFO0rY5OChtAG_8F5Z2Y,Leadership Sandbox / Technical Enablement,Reviewed - Verified,Critical,10,Technical training / Outreach logic,Outreach variables; prospect/account/sender variables; error handling; if/else conditional logic; nested fallback examples,Excellent technical CRM/email artifact,Excellent ATS keyword support,No,No,"Exact URL attached; content verifies variable taxonomy, conditional personalization, preview/error QA, and syntax troubleshooting training.",High,2026-04-30
TR-0009,Sequences,22-23SequenceCopy,"Morgan_CC_ In Contract, Draft 2 with Thoughts!.docx",DOCX,https://drive.google.com/file/d/1WE4NnTUUto0MXsr60cD3aUJnmgdYose3,Money Makers,Reviewed - Verified,Critical,10,Sequence writing / strategic revision,Tied to 34% reply sequence cluster,Excellent nurture/displacement case study,Excellent lifecycle/copy bullet,No,No,11-step revised competitive displacement sequence with comments/thoughts.,High,2026-04-30
TR-0010,Sequences,22-23SequenceCopy,Sequence Review_ In Contract (Starts w_ Reply).docx,DOCX,https://drive.google.com/file/d/1-r1lRJ8L4pS3FP_eb8HHHL4-tzeTntzk,Money Makers,Reviewed - Verified,High,9,Earlier sequence version / baseline,Tied to 34% reply sequence cluster,Useful before/after artifact,Useful proof of iterative improvement,No,No,Baseline version helps show how the revised version improved strategy and personalization.,High,2026-04-30
