Role / Company,Tags,Bullet Point
Mercor,[ops],"- Audited AI-generated sales and marketing content for technical accuracy, ensuring compliance with campaign standards"
Mercor,[ops],"- Audited copy, segmentation, and reporting logic to ensure operational accuracy and campaign readiness."
Mercor,[enablement],- Collaborated asynchronously with leadership and subject matter experts to refine training datasets and improve system performance in campaign and territory analysis.
Mercor,[generalist],- Collaborated with leadership to refine system prompts and improve training datasets
Mercor,[ops],- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards
Mercor,[ops],"- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards, annotating conversational data to improve content quality."
Mercor,[ops],"- Evaluated AI-generated sales/marketing outputs against industry benchmarks, improving alignment with best practices."
Mercor,[enablement] [ops],"- Partnered asynchronously with AI product teams to improve workflows, mirroring real-world campaign operations."
Mercor,[generalist],- Partnered with engineering teams to refine AI algorithms for campaign and territory analysis
Mercor,[generalist],"- Partnered with leadership and SMEs to refine training datasets, streamlining QA protocols across campaigns."
Mercor,[generalist],"- Produced high-quality marketing and sales assets for model input, ensuring real-world technical applicability"
Mercor,[ops],- Produced marketing assets aligned with automation logic and system requirements
Mercor,[enablement],"- Produced onboarding playbooks, interview guides, and campaign frameworks to support ongoing iteration."
Mercor,[generalist],"- Produced real-world marketing assets for model input, ensuring representation of high-quality retail and sales scenarios."
Mercor,[ops],"- QA’d AI-generated marketing campaign builds and performance outputs, aligning evaluation criteria with best practices in HubSpot and Salesforce execution."
Mercor,[generalist],- Supported calibration of AI decision-making in campaign and territory analysis scenarios
Mercor,[generalist],"- Supported calibration of AI decision-making in campaign and territory analysis, reducing system error rates."
Treering Yearbooks,[email],- A/B Testing
Treering Yearbooks,[content] [ops],"- Achieved 2.98% personal engagement rate, nearly triple the 1% industry standard, and 65%+ closing rate"
Treering Yearbooks,[email] [ops],"- Achieved 43% reply rates and 83% open rates on sequences, exceeding industry benchmarks by 10x and generating $1M+ in pipeline revenue"
Treering Yearbooks,[email] [ops],- Achieved 74% open rates and 22% reply rates on PTA council campaigns with targeted segmentation and custom-crafted strategies.
Treering Yearbooks,[ops],"- Achieved a 2.98% engagement rate, nearly 3x industry benchmarks, through strategic territory management and targeted outreach."
Treering Yearbooks,[email] [writing],- Authored high-intent email campaigns with up to 62% reply rates to convert warm prospects into signed deals
Treering Yearbooks,[ops],"- Achieved company-first milestone as the top SDR, sourcing $1M+ in revenue and exceeding annual sales goals by 17%."
Treering Yearbooks,[enablement] [mgmt],"- Managed a remote team of 4–6 while overseeing 2,000+ accounts; led coaching, reviews, timesheets, and team training for 20+ staff."
Treering Yearbooks,[ops],- Partnered with sales and operations teams to enhance cross-sell and upsell opportunities through targeted CRM campaigns.
Treering Yearbooks,[ops],"- Trained team members on advanced CRM practices, customer retention strategies, and district-level outreach approaches."
Treering Yearbooks,[ops],"- Partnered with sales and operations to align CRM efforts with go-to-market strategies, driving cross-sell and upsell opportunities."
Treering Yearbooks,[ops],"- Led internal training sessions on lifecycle marketing, customer engagement tactics, and CRM best practices."
Treering Yearbooks,[ops],- Achieved consistent top “Good Fit” ratings and internal recognition for driving high-conversion handoffs.
Treering Yearbooks,[content] [ops],"- Achieved success as the first outbound hire to surpass $1M in sourced revenue, exceeding first-year target by 17% through proactive territory management, personalized outreach, and compelling presentations."
Treering Yearbooks,[ops],- Aligned campaign messaging with company goals and product milestones alongside Marketing and Sales leadership.
Treering Yearbooks,[email],"- Analyzed campaign data to fine-tune strategy, consistently achieving 70–85% open rates and high engagement benchmarks."
Treering Yearbooks,[email],"- Analyzed campaign performance data and sales cycle velocity to identify key conversion bottlenecks, leading to A/B testing initiatives that doubled lead-to-meeting rates."
Treering Yearbooks,[email] [ops],"- Analyzed campaign performance via Salesforce and Outreach.io dashboards/reports, translating data into improved conversion."
Treering Yearbooks,[ops],"- Analyzed campaign performance via Salesforce dashboards, translating email metrics into improved conversion and retention."
