Role / Company,Bullet Point,hidden_gem_score,hidden_gem_reason
Treering Yearbooks,"Authored 100+ multi-touch email campaigns for niche K-12 segments, achieving 95% open and 54% reply rates by applying Outreach.io and systematic A/B testing across 2,900+ accounts",98.0,"The combination of high-volume output with exceptionally rare, industry-defying engagement metrics (95% open/54% reply) provides immediate, quantifiable proof of elite-level expertise in email deliverability and audience segmentation."
Treering Yearbooks,"Overhauled CRM data hygiene across 2,933+ accounts, surfacing $3M+ in stale pipeline by building custom Salesforce dashboards and territory prioritization workflows to re-engage dormant districts and schools across 51 states and Canada",96.0,"The bullet combines high-stakes financial impact with precise, quantifiable operational scale and a clear demonstration of technical proficiency in solving a complex business problem."
Misc. / Unassigned,"Built the complete brand identity system for Strategy LLC from scratch, establishing a visual and content standard that has remained in active use for over 15 years",95.0,"The 15-year longevity of the work provides rare, objective proof of high-quality, timeless design and strategic foresight that far exceeds the typical impact of a branding project."
Misc. / Unassigned,Authored high-conversion email copy and personalization frameworks that achieved up to 83% open and 43% reply rates across niche audience segments,95.0,"The inclusion of specific, industry-defying performance metrics (83% open/43% reply) combined with the mention of 'personalization frameworks' demonstrates a rare, data-driven mastery of high-stakes communication."
Treering Yearbooks,"- Managed a $20M sales territory of 2,932 accounts, exceeding first-year quota by 17% and becoming the first SDR in company history to surpass the $1M sourced revenue milestone.",95.0,"The combination of high-volume account management, specific quota attainment, and a historical company-first milestone creates a powerful, data-backed narrative of exceptional performance."
Misc. / Unassigned,"Recovered $3M+ in stale Salesforce pipeline by auditing 2,933+ accounts across 565 districts to identify and prioritize unworked revenue opportunities",95.0,"The bullet combines a high-impact financial figure with granular, specific data points that demonstrate both analytical rigor and a proactive approach to revenue recovery."
Element 8 / Strategy LLC,"Built Strategy LLC's complete brand identity system from scratch, creating a visual brand framework that has remained in active use for over 15 years",95.0,"The claim of a brand identity remaining in active use for 15 years demonstrates exceptional longevity, consistency, and long-term strategic impact that is rarely seen in typical design roles."
Misc. / Unassigned,- Revenue Impact: First outbound hire to generate $1M+ in sourced closed-won (>$1.5M total contribution),95.0,"This bullet is exceptional because it establishes the candidate as a foundational 'first hire' while providing precise, high-stakes revenue attribution that proves both individual impact and scalability."
Element 8 / Strategy LLC,"Built Strategy LLC's complete brand identity system from scratch, creating a cohesive visual framework that remains in active use 15+ years after launch",95.0,"The claim of 15+ years of longevity for a brand identity system provides rare, objective proof of high-quality, timeless work and long-term organizational impact."
Element 8 / Strategy LLC,"Built the complete brand identity and visual system for Strategy LLC from scratch, establishing brand standards that remain in active use 15 years later",95.0,"The claim of 15-year longevity for a brand system is an exceptionally rare indicator of high-quality, timeless design work that provides immediate proof of long-term value and professional impact."
Element 8 / Strategy LLC,"Built the complete brand identity system for Strategy LLC from scratch, creating a visual framework that has remained in active use for over 15 years",95.0,"The claim of 15-year longevity for a brand identity system is a rare, powerful indicator of high-quality, timeless design work that demonstrates exceptional long-term value and organizational impact."
Element 8 / Strategy LLC,"Developed Strategy LLC's complete brand identity and visual system from scratch, establishing a cohesive brand voice and aesthetic that remains in active use 15+ years later",95.0,"The claim of 15+ years of longevity for a brand identity is a rare, high-signal indicator of exceptional quality, strategic foresight, and enduring professional impact."
Element 8 / Strategy LLC,"Built the complete brand identity system from scratch for Strategy LLC, establishing a visual standard that remains in active use 15 years later",95.0,"The claim of 15-year longevity for a brand identity system provides rare, powerful evidence of long-term strategic impact and design durability that far exceeds standard resume claims."
Element 8 / Strategy LLC,"Built the complete brand identity system for Strategy LLC from scratch, establishing a visual framework that remains in active use 15 years later",95.0,"The claim of 15-year longevity for a brand identity system provides rare, powerful evidence of high-quality, timeless work that transcends typical short-term project impact."
Element 8 / Strategy LLC,"Built the complete brand identity system for Strategy LLC from scratch, creating a visual framework that has remained in active use for over 15 years",95.0,"The claim of 15-year longevity for a brand identity system is a rare, powerful indicator of high-quality, timeless design work that demonstrates exceptional long-term value and organizational impact."
Element 8 / Strategy LLC,"Built Strategy LLC's complete brand identity and visual system from scratch, establishing a cohesive creative framework for digital and email campaigns that remains in active use 15+ years later",95.0,"The claim of longevity—that a brand system remains in active use after 15 years—is a rare, powerful indicator of high-quality, timeless work that provides exceptional long-term ROI for the employer."
Element 8 / Strategy LLC,"Built the complete brand identity system for Strategy LLC from scratch, establishing a visual framework that remains in active use 15 years later",95.0,"The claim of 15-year longevity for a brand identity system provides rare, objective proof of high-quality, timeless design work that transcends typical short-term project cycles."
Element 8 / Strategy LLC,"Built the complete brand identity system for Strategy LLC from scratch, establishing a visual framework that remains in active use 15 years later",95.0,"The claim of 15-year longevity for a brand identity system is a rare, powerful indicator of high-quality, timeless work that provides exceptional long-term ROI."
Element 8 / Strategy LLC,"Designed Strategy LLC's complete brand identity from scratch, creating a visual system still in active use 15 years later",95.0,"The claim of a visual system remaining in active use for 15 years provides rare, powerful evidence of long-term design durability and institutional impact that transcends typical short-term project metrics."
Treering Yearbooks,"Recovered $3M+ in stale Salesforce pipeline by executing a systematic 2,000-account data hygiene audit and re-prioritization project, enabling targeted multi-touch Outreach.io sequences that achieved a 34% reply rate.",95.0,"This bullet is exceptional because it quantifies both the financial impact of a tedious, often overlooked task (data hygiene) and the specific operational efficiency gained through a high-performing multi-touch strategy."
Element 8 / Strategy LLC,"Built the complete brand identity and visual system for Strategy LLC from scratch, establishing a design framework that remains in active use 15 years later",95.0,"The claim of a design framework remaining in active use for 15 years provides rare, powerful evidence of long-term strategic impact and foundational excellence."
Element 8 / Strategy LLC,"Built the complete brand identity system for Strategy LLC from scratch, creating a visual framework that has remained in active use for over 15 years",95.0,"The claim of a 15-year shelf life for a brand identity system is a powerful indicator of high-quality, timeless work that demonstrates exceptional long-term value and organizational impact."
