Source File,Finding Type,Best Details,Confidence,Use Caveat
"Aug 12 2019 -- Call notes, Bill Lanxner.docx",Discovery call notes,"Advisor sold ~45 books out of ~1,000 students; wanted lower cost, no risk, easier selling, and asked to be convinced not to give up on the yearbook.",High,"Mostly notes from a call led/demoed with TJ, so frame as documented/coordinated discovery, not sole ownership."
CALL PRACTICE -- Struggling (Notes from Aug 12 2019).docx,Training / call-practice transformation,"Real call notes were converted into a training scenario with prospect tone, pain points, questions, objections, and next-step cues.",High,"Some content overlaps with Bill call notes; canonical call = Bill notes, training version = call-practice artifact."
"Aug 13 2019 -- Demo, Kris.docx",Demo notes,"Notes capture software questions, portraits, templates, Spanish materials, online marketing, pricing, personal pages, account setup, and samples.",High,"Demo appears led by Kris with Morgan participating/observing; use as support, not solo claim."
"August 29 2019 -- Call Notes, Melissa.docx",Discovery / presentation-prep call,"Morgan uncovered pain around communication/time zones, minimum orders, deadlines, pricing, parent ordering, shipping, samples, eco value, custom pages, portraits, presentation format, and competitor/shutterfly discount concern.",High,Can frame strongly as Morgan-led discovery/prep call.
CALL PRACTICE -- Super Interested.docx,Training / call-practice + actual call notes,"Training scenario and actual notes capture low-risk appeal, no-cost model, license/software questions, turnaround, portraits, delivery, sign-up, and multi-stakeholder demo next step.",High,Good but somewhat basic compared with Melissa/Bill.
"CALL PRACTICE -- Formal, Teacher.docx",Training / call-practice + actual call notes,"Scenario covers support concerns, lack of in-person rep, pricing/quote, samples, software access, demo timing, contracts/minimums, retention rate, references, and private-school fit.",High,Retention-rate claim should be verified elsewhere before using externally.
Demo Script - Morgan _3.docx,Demo script / product storytelling,"Script includes qualification, buyer pain discovery, no cost/no contracts/no minimums, turnaround, custom pages, tree planting, dashboard, promote tools, roster/email tools, team management, ordering, shared photos, portraits, styling, editing, proofs, ship-to-home, ads, and support.",High,Long script; extract only the strongest framework pieces for final materials.
2021 Content Feedback.xlsx,Content feedback / voice-of-sales survey,"Survey praises positive, soft-sell, personalized, human, bullet-pointed content and asks for shorter, more benefit-focused, less salesy, more visual, persona-specific, feature-specific sequence steps.",High,"This is feedback intake, not final output; pair with sequence revisions/results."
Jan 8 2020 - Marisa.docx,Discovery call notes,"74 eighth graders; wanted collective memory book, student uploads, 70 pages, flexible page count/delivery, portraits via StompingGround, 14 students + 2 teachers with logins, possible 1,000-student K-12 book next year.",High,No direct outcome yet; find demo/follow-up if possible.
"Jan 8 2020 -- Call Notes, Mr. Ray.docx",Discovery call notes,"Wanted to start all-years yearbook after prior single-grade yearbook; asked about presales, marketing, fundraising, photos, portrait CD, student photo collection, demo.",High,Lighter depth than Melissa/Bill.
"Jordan, Demo.docx",Demo notes / outcome,"Full demo walkthrough across no cost/no contract/no minimums, dashboard, sales tracking, marketing, editor roles, page management, editing, portraits, support; prospect asked how to move forward and scheduled next-day setup/pricing handoff.",High,Use as Morgan-led demo artifact.
"CC_ Sample Sent, No Demo (WORKING).docx",Sequence draft / lifecycle nurture,"12-step concept includes sample delivery confirmation, follow-up timing preference, Top 10 Reasons link, phone tasks, A/B subject tests, software demo preview, local/account fallback variable, pricing/references offers, non-contract PDF, testimonials, Google Meet CTA, selection-process question, and terminal task outcome.",High,Working draft; V2 duplicate mostly same. Use canonical or compare revisions if needed.
"CC_ Sample Sent, No Demo V2.docx",Sequence draft duplicate/version,Content appears substantially same as WORKING version; includes same 12-step structure and A/B tests.,High,Duplicate/derivative of working draft.
"Morgan -- Solo Intro Call, Private.docx",Discovery / intro call + tailored call script,72-page hardcover; school buys 400 books and gives one to every student; current contract price was $16.03 vs TreeRing calculator around $27; Morgan adapted value props because no-minimum/no-cost worked differently for all-school purchase.,High,"No close/outcome in this file; use for adaptable consultative selling, not result."
Mr. Ray Call with TJ.docx,Follow-up support / onboarding notes,Prospect did not want to screenshare; had questions about adding pages/table of contents/theme; TJ walked him through support and provided number.,Medium,Lightweight note; not a centerpiece.
"Nov 7 2019 -- Demo, Kristie.docx",Demo notes / private all-school purchase,"Prospect wanted photo upload/templates/storage, did not allow parent photo uploads, had team of kids, all-school purchase of 400 books at $16.03; Kristie quoted $18, 30% off list, free books, and trial account after deadline.",High,Demo led by Kristie; use as coordinated handoff context.
