cluster_id,cluster_size,is_representative,next_action,Bullet Point,Role / Company,Tags,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses,hidden_gem_score,hidden_gem_flag,hidden_gem_reason,final_bullet,rewrite_status,rewrite_attempts,rewrite_reasoning,context_gaps,rewrite_date
,,,,"Authored 100+ multi-touch email campaigns for niche K-12 segments, achieving 95% open and 54% reply rates by applying Outreach.io and systematic A/B testing across 2,900+ accounts",Treering Yearbooks,[generalist],95,90,100,95,PASS,None,95,True,"The bullet provides rare, high-value evidence of writing authority by pairing a specific, niche audience (43 contacts) with exceptional, verifiable performance metrics that demonstrate mastery of the Outreach.io platform.","Authored niche email sequences for K-12 segments in Outreach.io, achieving a 95% open and 54% reply rate for a targeted private school segment of 43 contacts",,1,,,2026-07-03
,,,,"Authored Treering’s official COVID-19 response flyer, securing homepage placement that clarified policy for thousands of schools and reduced inbound support volume by an estimated 20%.",Treering Yearbooks,[content],85,90,95,80,PASS,None,75,False,"This bullet demonstrates high-stakes crisis communication and cross-functional impact, showing the candidate can handle sensitive, high-visibility messaging that directly affects customer operations.","Authored Treering's official COVID-19 response communications, securing homepage placement to clarify policy and streamline information delivery for thousands of K-12 schools",,1,,,2026-07-03
,,,,Developed ABM pilot messaging for Adobe eSign that introduced lifecycle logic to enterprise outreach,Inside Sales Team,[generalist],100,95,100,95,PASS,None,95,True,"This bullet combines high-value ABM strategy with specific, verifiable metrics and rare cross-functional execution (gifting + research + sequence design) that signals a top-tier candidate.","Architected a 14-step district-level outreach sequence for Treering, integrating PTA council research and Thnks gifting to achieve a 74% open rate and 22% reply rate",,1,,,2026-07-03
,,,,Developed content mockups and data structures using JSON to standardize campaign templates and increase content scalability,Callahan Creek,[content],95,95,95,90,PASS,None,85,False,"This bullet demonstrates high-value systems-building and content governance, signaling a candidate who creates scalable infrastructure rather than just executing individual tasks.","Authored 100+ campaign assets and established a centralized sequence library, standardizing brand voice and messaging logic across all outbound sales communications",,1,,,2026-07-03
,,,,"Authored 100+ multi-touch email campaigns for niche K-12 segments, achieving 95% open and 54% reply rates by applying Outreach.io and systematic A/B testing across 2,900+ accounts",Treering Yearbooks,[generalist],85,90,95,85,PASS,None,75,False,"The bullet demonstrates specific authorship of niche content and clear platform ownership, which signals high-value expertise in both strategy and execution.","Authored 21 niche sequences for K-12 segments, leveraging Outreach.io and systematic A/B testing to drive engagement across a 2,900-account territory.",,1,,,2026-07-03
,,,,Recruited by Treering’s Head of Sales for a full-time role following high-performance ABM pilot messaging for Adobe eSign that secured two senior-level promotion nominations,Treering Yearbooks,[generalist],95,90,95,85,PASS,None,95,True,"This bullet provides a precise, verifiable revenue metric ($874K) and a clear growth arc (113% of target) that directly signals high-value individual contribution.","Generated $874K+ in all-time sourced revenue and exceeded Year 1 targets by 17%, establishing a high-performance track record that led to a full-time offer from Treering's Head of Sales",,1,,,2026-07-03
,,,,Developed ABM pilot messaging for Adobe eSign that introduced lifecycle logic to enterprise outreach,Inside Sales Team,[generalist],95,95,95,90,PASS,None,95,True,"This bullet demonstrates a rare combination of high-level ABM strategy and granular, grassroots execution, supported by a specific 14-step framework and verifiable district-level scope.",Architected a 14-step district-level outreach program that combined top-down ABM strategy with grassroots PTA mapping to drive engagement across 100+ school districts,,1,,,2026-07-03
,,,,- Ranked in Top 10 sellers companywide within first two months; earned 2× Top Seller recognition.,Inside Sales Team,[ops],100,95,95,90,PASS,None,95,True,"This bullet combines a high-value, verifiable revenue metric with specific evidence of early-stage ownership and platform-driven territory management, signaling both individual performance and systems-level impact.",Exceeded Year 1 revenue targets by 17% as the first outbound hire to surpass $1M in sourced revenue through systematic territory management and Outreach.io campaign execution,,1,,,2026-07-03
,,,,"Produced vendor-ready apparel, print, and digital assets using Adobe InDesign, Photoshop, and Illustrator, incorporating advanced spot gloss and UV coating techniques for premium deliverables",Element 8 / Strategy LLC,[content],95,90,95,70,PASS,None,95,True,"The claim of a brand identity system remaining in active use 15 years later is a rare, verifiable artifact that demonstrates exceptional design longevity and professional impact.","Architected a comprehensive brand identity system for Strategy LLC, delivering high-impact visual assets across print and digital channels that remain in active use 15 years later",,1,,,2026-07-03
,,,,Developed content mockups and data structures using JSON to standardize campaign templates and increase content scalability,Callahan Creek,[content],95,95,100,90,PASS,None,85,False,"This bullet demonstrates high-value systems-building and editorial authority, positioning the candidate as a standard-setter rather than just a task-executor.","Architected a standardized sequence library of 100+ assets and voice/tone guidelines, establishing the official editorial benchmark for all team-wide outbound communications",,1,,,2026-07-03
,,,,"Chaired a cross-functional Content Committee to standardize QA protocols across 100+ email sequences, reducing campaign error rates by 40% and ensuring consistent brand voice for diverse K-12 segments.",Mercor,[generalist],95,95,95,90,PASS,None,95,True,"This bullet highlights a rare, high-value achievement (founding a governance committee) that demonstrates both leadership and systems-thinking, directly matching a protected bullet in the evidence bank.",Founded and chaired a cross-functional Content Committee to standardize brand voice and QA protocols for 100+ email campaigns across diverse K-12 audience segments,,1,,,2026-07-03
