cluster_id,cluster_size,next_action,Bullet Point,Role / Company,Tags,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses,source,rewrite_attempts,rewrite_reasoning,context_gaps,rewrite_date
0,1,KEEP,"- Built CRM systems tracking 15+ data points per account across 206 active tasks, enabling efficient workflow management.",Treering Yearbooks,[ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
1,1,KEEP,"- Founded and facilitated a cross-department content committee that reduced content review cycles by 20%, unifying messaging across 100+ email templates and sales assets.",Treering Yearbooks,[content] [email] [enablement],85.0,80.0,90.0,85.0,PASS,,original,0,,,
2,1,KEEP,"- Designed and implemented scalable QA protocols and workflow documentation, reducing content errors by 50%.",Treering Yearbooks,[enablement] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
3,1,KEEP,"- Initiated and analyzed team-wide feedback surveys, translating qualitative and quantitative data from 13+ team members into actionable improvements for product messaging and positioning.",Treering Yearbooks,[generalist],85.0,90.0,95.0,80.0,PASS,,original,0,,,
4,2,KEEP,- Exceeded sales target by 17% in the first year; first outbound team member to achieve $1M+ in closed revenue,Treering Yearbooks,[ops],95.0,90.0,95.0,85.0,PASS,,original,0,,,
5,1,KEEP,"- Instrumented KPI dashboards to monitor outreach effectiveness, persona conversion, and email engagement trends.",Treering Yearbooks,[content] [ops],85.0,90.0,95.0,80.0,PASS,,original,0,,,
6,1,KEEP,- Integrated feedback loops between Outreach and Salesforce to reduce friction and improve segmentation workflows.,Treering Yearbooks,[ops],85.0,90.0,95.0,90.0,PASS,,original,0,,,
7,1,KEEP,"- Launched a cross-functional Content Committee to unify voice, align tone, and reduce content inconsistencies by 15%.",Treering Yearbooks,[content] [enablement],75.0,80.0,90.0,85.0,PASS,,original,0,,,
8,1,KEEP,- Launched lifecycle campaigns to expand equitable access and reactivate $3M+ in dormant accounts through CRM analysis.,Treering Yearbooks,[email] [ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
9,1,KEEP,"- Led CRM audit that uncovered $3M+ in hidden pipeline; created reports, dashboards, and workflows for more accurate targeting.",Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,original,0,,,
